"competitorId","competitorName","firstName","lastName","gender","genderId","age","ageNull","height","heightNull","weight","weightNull","bmi","bmiNull","affiliateName","affiliateId","countryOfOriginName","countryOfOriginCode","regionName","regionId","status","statusId","year","overallRank","overallScore","openCompetitor","openRank","openScore","gamesCompetitions","openCompetitions"
62554,"Brooke Ence","Brooke","Ence","F",2,25,0,171,0,69,0,23.5970042064225,0,"CrossFit West",13532,"United States",1,"North America",1,"ACT",1,2015,14,582,1,19,643,1,1
63058,"Dave Lipson","Dave","Lipson","M",1,26,0,183,0,96,0,28.6661291767446,0,"",0,"",0,"",0,"ACT",1,2008,14,17,0,1000,5000,1,1
64862,"Rebecca Eastwell","Rebecca","Eastwell","F",2,30,0,160,0,50,0,19.53125,0,"",0,"",0,"",0,"CUT",4,2010,23,118,0,1000,5000,1,1
66772,"Paul Eich","Paul","Eich","M",1,44,0,188,0,89,0,25.181077410593,0,"",0,"",0,"",0,"ACT",1,2008,97,29,0,1000,5000,1,1
68808,"Christina Seeley","Christina","Seeley","F",2,26,0,164,0,69,0,25.6543723973825,0,"CrossFit Calgary",785,"Canada",5,"North America",1,"ACT",1,2016,32,377,1,763,5000,1,1
71944,"Dani Martin","Dani","Martin","F",2,27,0,158,0,53,0,21.2305720237141,0,"",0,"",0,"",0,"ACT",1,2007,8,256,0,1000,5000,1,1
74320,"Samuel Kwant","Samuel","Kwant","M",1,20,0,181,0,94,0,28.6926528494246,0,"Mallard CrossFit",10509,"United States",1,"North America",1,"ACT",1,2016,16,588,1,38,557,1,1
74524,"John Spear","John","Spear","M",1,29,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,63,22,0,1000,5000,1,6
78751,"Magnúsdóttir Jenny","Magnúsdóttir","Jenny","F",2,26,0,171,0,73,0,24.9649464792586,0,"",0,"",0,"",0,"CUT",4,2010,45,0,0,1000,5000,0,6
79509,"Richard Vanmeerbeek","Richard","Vanmeerbeek","M",1,23,0,188,0,90,0,25.4640108646446,0,"",0,"",0,"",0,"CUT",4,2010,43,142,0,1000,5000,1,6
79664,"Max Mormont","Max","Mormont","M",1,29,0,173,0,103,0,34.4147816499048,0,"",0,"",0,"",0,"ACT",1,2008,40,20,0,1000,5000,1,6
80097,"Joshua Webster","Joshua","Webster","M",1,28,0,194,0,100,0,26.5703050271017,0,"",0,"",0,"",0,"ACT",1,2008,55,21,0,1000,5000,1,6
81616,"Björgvin Karl Guðmundsson","Björgvin Karl","Guðmundsson","M",1,21,0,178,0,87,0,27.458654210327,0,"CrossFit Hengill",4860,"",0,"Europe",4,"ACT",1,2014,26,517,1,43,1052,1,1
82009,"Brad Posnanski","Brad","Posnanski","M",1,36,0,176,0,90,0,29.0547520661157,0,"",0,"",0,"",0,"ACT",1,2008,43,20,0,1000,5000,1,10
82058,"Joe Westerlin","Joe","Westerlin","M",1,26,0,178,0,75,0,23.6712536295922,0,"",0,"",0,"",0,"ACT",1,2008,102,30,0,1000,5000,1,10
82637,"Russell Bruel","Russell","Bruel","M",1,31,0,161,0,65,0,25.0761930481077,0,"",0,"",0,"",0,"WD",2,2007,41,59,0,1000,5000,1,10
82742,"Edgar Pangilinan","Edgar","Pangilinan","M",1,30,0,177,0,109,0,34.792045708449,0,"",0,"",0,"",0,"ACT",1,2008,109,31,0,1000,5000,1,10
82954,"Andrew Swartz","Andrew","Swartz","M",1,32,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,41,20,0,1000,5000,1,10
86089,"Elliot Simmonds","Elliot","Simmonds","M",1,24,0,185,0,90,0,26.2965668371074,0,"CrossFit Yas",10868,"United Arab Emirates",12,"Asia",6,"ACT",1,2018,26,530,1,369,5000,1,1
86164,"Jimi Letchford","Jimi","Letchford","M",1,28,0,176,0,91,0,29.3775826446281,0,"",0,"",0,"",0,"ACT",1,2008,26,18,0,1000,5000,1,2
87315,"Kerri Wenke","Kerri","Wenke","F",2,27,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"ACT",1,2008,35,35,0,1000,5000,1,2
89340,"Sven Hestrand","Sven","Hestrand","M",1,40,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,117,35,0,1000,5000,1,2
93171,"Jeff Patzer","Jeff","Patzer","M",1,29,0,168,0,80,0,28.3446712018141,0,"",0,"United States",1,"North America",1,"ACT",1,2017,34,326,1,66,1019,1,1
93473,"Josh Miller","Josh","Miller","M",1,30,0,176,0,87,0,28.0862603305785,0,"CrossFit Crash",15471,"United States",1,"North America",1,"CUT",4,2019,82,0,1,131,1692,0,1
93488,"Emmanuel Maldonado","Emmanuel","Maldonado","M",1,24,0,150,0,89,0,39.5555555555556,0,"CrossFit SJU",6374,"",0,"South America",3,"CUT",4,2014,40,237,1,1000,5000,1,1
93497,"Mekenzie Riley","Mekenzie","Riley","F",2,29,0,163,0,71,0,26.7228725206067,0,"",0,"United States",1,"North America",1,"ACT",1,2017,23,484,1,13,186,1,1
95022,"Rogelio Gamboa","Rogelio","Gamboa","M",1,29,0,173,0,89,0,29.7370443382672,0,"",0,"United States",1,"North America",1,"ACT",1,2016,35,378,1,31,529,1,1
95767,"Joseph Guesnier","Joseph","Guesnier","M",1,25,0,183,0,98,0,29.2633402012601,0,"",0,"United States",1,"North America",1,"ACT",1,2016,36,356,1,151,1581,1,1
96750,"Oddrun Eik Gylfadottir","Oddrun Eik","Gylfadottir","F",2,29,0,163,0,59,0,22.206330686138,0,"CrossFit EHOH",14656,"United Arab Emirates",12,"Asia",6,"ACT",1,2018,26,462,1,39,1048,1,1
96918,"Andy Andrews","Andy","Andrews","M",1,30,0,169,0,74,0,25.9094569517874,0,"CrossFit Ceylon",20562,"Sri Lanka",104,"Asia",6,"CUT",4,2019,136,0,1,1000,5000,0,1
96973,"Zak Carchedi","Zak","Carchedi","M",1,23,0,176,0,84,0,27.1177685950413,0,"Cobra Command CrossFit",13888,"United States",1,"North America",1,"ACT",1,2016,23,504,1,13,302,1,1
